StudyHours,Attendance,SleepHours,PreviousMarks,Performance
7,43,7,79,Excellent
12,91,4,76,Excellent
8,73,10,70,Excellent
3,83,10,70,Excellent
7,44,4,36,Average
11,60,6,54,Excellent
6,95,5,38,Good
12,44,7,95,Excellent
5,65,6,46,Good
1,44,9,39,Average
5,54,10,73,Excellent
8,52,5,36,Average
5,41,6,89,Good
9,77,10,72,Excellent
8,85,7,80,Excellent
12,55,8,48,Excellent
12,82,5,74,Excellent
9,75,8,83,Excellent
4,43,8,94,Good
9,45,5,50,Good
1,91,4,89,Good
10,73,8,91,Excellent
2,88,8,46,Average
3,86,10,62,Good
6,68,8,88,Excellent
2,85,9,48,Good
10,72,10,52,Excellent
2,98,5,76,Excellent
4,43,10,85,Excellent
2,78,4,60,Good
10,57,6,74,Excellent
11,40,5,75,Excellent
8,72,7,62,Excellent
1,88,4,36,Average
4,45,9,41,Average
1,84,6,91,Good
1,84,5,62,Average
6,99,10,90,Excellent
1,48,7,54,Average
4,54,10,85,Excellent
9,43,5,56,Good
12,53,10,87,Excellent
12,43,8,68,Excellent
8,50,9,55,Good
6,61,6,52,Good
4,89,4,47,Good
2,99,4,39,Average
9,80,9,86,Excellent
12,66,9,94,Excellent
1,65,9,89,Excellent
8,71,6,51,Excellent
10,77,7,58,Excellent
10,82,6,63,Excellent
12,57,6,73,Excellent
10,87,10,94,Excellent
3,86,10,64,Excellent
2,62,10,48,Good
11,93,5,36,Good
12,95,5,86,Excellent
6,55,4,95,Excellent
12,91,4,46,Excellent
9,71,10,93,Excellent
10,60,7,94,Excellent
7,73,6,92,Excellent
5,54,7,86,Good
2,48,4,94,Good
5,56,7,58,Good
5,74,7,54,Good
5,52,9,44,Good
4,43,8,62,Average
3,48,7,63,Average
2,51,10,53,Average
1,88,7,40,Average
7,41,10,66,Good
9,51,6,36,Good
7,42,5,79,Good
4,72,6,54,Good
7,82,9,41,Good
12,94,6,89,Excellent
6,86,5,61,Excellent
10,61,10,70,Excellent
7,51,8,44,Good
1,96,6,74,Good
6,54,6,39,Average
8,66,5,70,Excellent
5,50,4,62,Average
7,71,8,46,Good
12,52,7,80,Excellent
11,58,5,83,Excellent
6,60,5,75,Good
5,62,8,72,Excellent
1,40,5,42,Poor
7,60,6,71,Excellent
8,99,9,62,Excellent
1,69,8,35,Average
10,72,9,89,Excellent
6,54,6,89,Excellent
1,41,8,73,Average
11,42,7,41,Good
1,64,6,77,Good
5,54,6,58,Good
10,59,9,36,Good
4,84,5,88,Excellent
11,87,5,57,Excellent
12,66,4,49,Excellent
2,85,4,95,Excellent
4,92,10,39,Good
7,57,4,85,Excellent
1,100,10,56,Good
8,91,7,82,Excellent
10,78,6,83,Excellent
4,43,5,82,Good
1,98,5,93,Excellent
11,82,4,83,Excellent
8,92,9,63,Excellent
3,42,5,83,Good
11,68,5,84,Excellent
10,46,8,62,Excellent
1,77,6,86,Good
11,79,10,93,Excellent
11,89,7,47,Excellent
11,88,8,55,Excellent
4,40,4,35,Average
7,49,7,65,Good
12,78,7,70,Excellent
12,70,8,92,Excellent
7,81,10,71,Excellent
1,44,8,66,Average
9,91,7,93,Excellent
3,70,9,90,Excellent
9,64,9,68,Excellent
11,94,6,67,Excellent
9,82,6,37,Good
2,98,7,77,Good
10,80,8,78,Excellent
12,87,8,78,Excellent
9,89,4,88,Excellent
8,61,10,57,Excellent
5,90,6,84,Excellent
12,47,8,78,Excellent
11,56,10,91,Excellent
7,70,9,65,Excellent
8,97,9,42,Excellent
8,76,8,74,Excellent
3,60,7,46,Average
1,69,7,91,Excellent
9,42,4,41,Average
11,57,10,80,Excellent
11,86,5,46,Excellent
3,50,5,63,Average
5,54,4,61,Average
8,94,7,42,Excellent
10,62,9,91,Excellent
9,87,7,45,Excellent
10,66,5,47,Good
5,57,5,51,Good
9,83,9,46,Excellent
9,61,5,60,Good
1,78,7,76,Good
6,58,7,62,Good
11,82,7,42,Excellent
4,86,7,58,Good
12,72,10,77,Excellent
2,76,9,46,Average
1,85,5,44,Average
10,58,7,47,Good
1,75,10,58,Good
6,57,8,52,Good
8,83,10,81,Excellent
12,79,9,87,Excellent
9,43,9,92,Excellent
2,98,6,47,Average
12,57,8,85,Excellent
8,60,10,84,Excellent
3,86,10,65,Excellent
9,56,6,85,Excellent
1,72,9,67,Good
2,82,5,67,Good
10,60,7,70,Excellent
7,88,4,89,Excellent
5,99,9,50,Excellent
2,91,8,94,Excellent
7,65,10,72,Excellent
9,92,5,60,Excellent
3,85,8,74,Excellent
8,67,7,57,Excellent
7,77,9,53,Excellent
3,93,6,88,Excellent
12,93,6,84,Excellent
4,69,9,47,Good
4,73,9,84,Excellent
3,69,9,60,Good
8,58,7,73,Excellent
9,76,9,62,Excellent
2,90,7,79,Excellent
12,75,9,64,Excellent
7,42,9,54,Good
6,78,5,91,Excellent
10,50,4,77,Excellent
11,86,4,50,Excellent
4,79,9,42,Good
6,100,7,42,Good
1,44,5,38,Poor
1,98,8,76,Excellent
4,78,5,71,Good
8,100,7,77,Excellent
11,46,4,56,Excellent
9,55,8,63,Excellent
5,95,5,50,Good
3,49,10,91,Good
10,90,10,65,Excellent
12,96,7,42,Excellent
5,73,5,60,Good
11,91,6,86,Excellent
6,99,5,60,Excellent
8,96,8,50,Excellent
5,46,7,80,Excellent
12,62,9,75,Excellent
4,92,6,77,Excellent
11,56,8,61,Excellent
4,48,4,91,Good
2,88,8,66,Good
8,47,4,85,Excellent
3,87,5,49,Good
7,94,10,48,Excellent
5,78,5,44,Average
8,47,5,47,Good
5,42,7,49,Average
7,51,9,61,Good
2,63,7,50,Average
12,67,4,59,Excellent
4,91,8,47,Good
12,88,6,40,Excellent
11,56,7,89,Excellent
7,91,5,37,Good
5,65,7,66,Good
10,88,5,71,Excellent
8,96,7,54,Excellent
1,67,8,88,Good
11,65,5,76,Excellent
6,82,6,69,Excellent
2,80,8,82,Good
7,46,5,62,Good
1,97,10,43,Good
7,91,8,77,Excellent
9,81,4,43,Excellent
3,94,6,45,Good
10,71,9,54,Excellent
6,92,6,78,Excellent
12,46,4,93,Excellent
12,71,9,78,Excellent
9,42,7,51,Good
8,79,6,36,Good
4,40,5,72,Good
1,41,9,62,Average
9,45,8,60,Excellent
2,47,4,45,Poor
1,40,9,92,Good
4,64,8,42,Average
11,80,10,83,Excellent
10,49,8,57,Excellent
4,84,9,43,Good
12,88,4,66,Excellent
12,56,8,73,Excellent
1,91,9,63,Good
2,77,5,78,Good
6,55,10,58,Good
1,93,5,57,Average
7,46,6,67,Good
6,50,8,77,Excellent
11,76,6,52,Excellent
7,54,7,48,Good
3,68,4,90,Good
11,90,10,42,Excellent
1,52,5,84,Average
10,89,6,92,Excellent
7,79,5,53,Good
12,47,7,81,Excellent
7,48,6,91,Excellent
9,75,5,35,Good
12,65,7,35,Excellent
8,54,4,55,Good
12,49,7,71,Excellent
4,94,9,55,Excellent
4,60,8,65,Good
10,82,4,77,Excellent
12,60,4,56,Excellent
7,86,9,72,Excellent
2,61,9,60,Good
10,100,9,44,Excellent
6,80,7,41,Good
10,57,7,39,Good
8,52,10,57,Excellent
7,96,7,88,Excellent
3,84,7,76,Excellent
7,73,5,95,Excellent
7,84,4,91,Excellent
1,49,7,51,Average
9,76,10,77,Excellent
8,79,9,82,Excellent
6,76,10,94,Excellent
11,95,9,52,Excellent
2,94,8,42,Average
1,87,5,89,Excellent
1,95,8,67,Good
7,61,4,85,Excellent
9,76,10,75,Excellent
4,55,10,58,Good
5,53,8,76,Good
12,75,8,62,Excellent
11,100,9,41,Excellent
12,80,10,64,Excellent
6,56,9,61,Excellent
9,96,8,59,Excellent
4,60,4,73,Good
4,96,5,69,Excellent
1,91,6,35,Average
5,51,10,59,Good
10,40,10,94,Excellent
6,87,4,42,Good
1,53,6,47,Average
4,45,7,54,Average
1,42,7,58,Average
9,81,8,55,Excellent
10,84,4,90,Excellent
4,88,6,81,Excellent
5,92,8,94,Excellent
8,61,5,43,Good
12,77,5,69,Excellent
10,53,9,87,Excellent
2,85,8,66,Good
3,71,8,80,Excellent
1,65,9,49,Average
2,76,7,84,Good
8,72,7,52,Excellent
10,55,7,66,Excellent
1,53,7,88,Good
3,97,8,71,Excellent
2,84,7,81,Good
3,92,7,56,Good
9,44,5,84,Excellent
3,67,5,39,Average
10,97,7,93,Excellent
11,56,10,72,Excellent
12,63,6,43,Excellent
7,69,5,53,Good
4,62,8,83,Excellent
6,57,7,87,Excellent
8,64,5,48,Good
6,69,9,83,Excellent
5,94,5,65,Excellent
9,62,8,61,Excellent
8,68,6,64,Excellent
2,65,5,46,Average
5,81,9,88,Excellent
4,63,9,71,Excellent
2,100,4,44,Average
5,82,7,71,Excellent
2,65,7,83,Good
8,100,6,90,Excellent
1,71,7,94,Good
10,82,10,86,Excellent
4,73,6,35,Average
1,41,9,63,Average
9,95,9,70,Excellent
12,76,7,47,Excellent
8,88,4,73,Excellent
4,60,7,66,Good
5,64,9,80,Excellent
4,61,6,56,Good
6,77,8,43,Good
6,58,9,85,Excellent
2,66,7,49,Average
3,92,6,48,Average
12,89,10,47,Excellent
8,94,7,58,Excellent
12,43,7,36,Good
5,92,10,95,Excellent
10,85,7,66,Excellent
9,70,6,73,Excellent
9,46,4,94,Excellent
7,100,10,63,Excellent
7,73,5,81,Excellent
4,45,6,69,Good
6,50,8,66,Good
4,64,9,86,Excellent
12,76,10,49,Excellent
6,86,7,83,Excellent
6,70,5,39,Good
4,90,4,45,Average
9,73,7,90,Excellent
8,71,9,94,Excellent
2,74,4,72,Good
7,74,6,42,Good
4,55,8,89,Excellent
10,70,9,92,Excellent
2,48,6,90,Good
4,95,7,49,Good
12,92,5,84,Excellent
9,65,8,59,Excellent
9,70,7,77,Excellent
9,95,9,41,Excellent
9,81,6,35,Good
12,93,8,62,Excellent
2,45,9,37,Average
12,70,9,60,Excellent
1,50,9,63,Average
11,84,10,82,Excellent
6,89,10,74,Excellent
6,70,7,44,Good
8,91,6,60,Excellent
2,66,5,55,Average
4,79,6,60,Good
6,83,9,65,Excellent
6,76,10,51,Excellent
4,97,5,90,Excellent
2,89,6,90,Excellent
11,64,9,59,Excellent
10,68,6,35,Good
1,87,9,91,Excellent
6,86,6,60,Good
11,69,10,57,Excellent
3,74,8,75,Good
5,52,9,41,Average
8,60,9,48,Good
4,68,8,94,Excellent
11,88,6,52,Excellent
1,58,9,53,Average
1,42,9,79,Good
6,85,4,61,Excellent
6,93,5,85,Excellent
2,84,9,68,Excellent
5,63,10,51,Good
9,55,4,44,Average
11,86,10,92,Excellent
5,94,10,59,Excellent
6,87,4,77,Excellent
8,68,4,44,Good
5,90,10,39,Good
9,86,7,69,Excellent
1,47,8,50,Average
2,50,10,48,Average
4,86,9,58,Excellent
6,58,5,60,Good
7,91,4,46,Good
2,99,9,83,Excellent
12,100,9,55,Excellent
3,93,9,42,Good
9,95,4,81,Excellent
12,74,4,56,Excellent
2,61,9,80,Good
8,80,5,77,Excellent
7,76,5,45,Good
2,70,5,95,Good
4,68,5,80,Excellent
4,88,9,85,Excellent
11,84,7,72,Excellent
10,92,5,67,Excellent
7,96,8,84,Excellent
12,82,5,41,Excellent
5,62,8,43,Good
8,64,9,41,Good
4,87,8,64,Excellent
10,92,8,72,Excellent
12,98,9,66,Excellent
4,86,5,85,Excellent
5,60,6,54,Good
9,66,10,84,Excellent
4,80,10,40,Good
5,48,10,77,Good
10,55,10,54,Excellent
9,47,7,67,Good
11,45,8,37,Good
4,70,9,40,Good
8,53,4,83,Good
3,49,6,57,Average
8,92,5,66,Excellent
7,48,5,70,Good
8,57,7,93,Excellent
5,78,7,74,Excellent
12,84,6,37,Excellent
4,42,5,56,Average
2,89,8,75,Good
10,63,9,52,Excellent
9,76,8,48,Excellent
10,82,4,74,Excellent
3,55,10,44,Good
2,78,6,39,Average
10,70,6,43,Excellent
10,79,10,72,Excellent
5,42,7,85,Good
10,70,4,66,Excellent
4,93,7,69,Excellent
4,61,9,58,Good
3,92,9,65,Excellent
2,86,6,94,Excellent
5,44,4,59,Average
3,55,5,72,Good
4,100,7,39,Good
3,65,8,51,Good
5,97,6,75,Excellent
4,83,9,61,Excellent
4,68,7,88,Excellent
9,55,10,57,Excellent
10,71,7,78,Excellent
10,55,8,77,Excellent
4,49,6,58,Average
8,49,9,85,Excellent
1,42,9,65,Average
1,55,9,75,Good
4,51,7,66,Good
6,48,10,50,Good
11,99,7,91,Excellent
12,82,8,48,Excellent
10,77,9,85,Excellent
6,76,4,61,Good
7,59,8,43,Good
10,48,8,49,Excellent
9,66,10,42,Excellent
8,88,6,86,Excellent
5,98,9,67,Excellent
7,89,9,95,Excellent
2,93,4,55,Good
4,65,4,46,Average
10,88,5,77,Excellent
2,70,6,59,Good
7,57,6,50,Good
11,52,9,76,Excellent
7,99,5,70,Excellent
12,60,9,63,Excellent
10,90,9,38,Excellent
4,48,5,46,Average
8,42,4,66,Good
3,90,8,55,Good
7,71,10,50,Excellent
11,74,4,65,Excellent
11,59,7,75,Excellent
5,99,7,69,Excellent
2,90,4,49,Average
12,97,9,38,Excellent
7,60,7,43,Good
11,88,8,58,Excellent
1,94,6,46,Average
3,77,10,40,Good
9,65,9,49,Excellent
5,56,9,76,Excellent
10,69,8,77,Excellent
2,75,10,53,Good
1,75,8,50,Average
4,56,10,81,Excellent
9,42,7,40,Good
8,86,5,94,Excellent
9,84,6,51,Excellent
8,42,4,51,Average
7,60,4,95,Excellent
11,76,7,80,Excellent
6,75,10,77,Excellent
10,48,9,47,Excellent
7,96,8,35,Good
5,72,8,50,Good
8,75,7,37,Good
9,88,7,38,Excellent
6,95,8,62,Excellent
1,69,5,48,Average
3,42,6,94,Good
9,44,7,51,Good
8,61,10,83,Excellent
12,67,6,77,Excellent
12,41,6,90,Excellent
6,93,10,68,Excellent
8,84,10,37,Excellent
4,75,4,90,Excellent
10,92,8,71,Excellent
6,80,6,93,Excellent
12,83,5,69,Excellent
12,71,7,57,Excellent
9,94,4,78,Excellent
4,47,4,38,Average
4,95,5,64,Good
11,82,9,39,Excellent
6,41,5,61,Average
3,61,5,68,Good
9,56,5,49,Good
1,67,10,61,Good
11,49,4,57,Excellent
11,91,8,35,Excellent
9,49,10,72,Excellent
5,77,9,49,Good
3,77,8,84,Excellent
6,96,6,90,Excellent
9,90,5,41,Good
8,49,7,76,Excellent
4,41,9,66,Good
6,89,10,42,Excellent
3,64,9,50,Good
7,63,4,52,Good
2,62,5,54,Average
5,96,8,89,Excellent
12,91,9,64,Excellent
9,93,7,49,Excellent
4,72,10,57,Good
8,65,6,57,Excellent
12,44,7,40,Good
12,66,10,37,Excellent
7,43,6,86,Excellent
6,80,6,55,Good
4,58,7,75,Good
5,76,10,40,Good
4,52,10,51,Good
5,44,4,71,Good
12,76,6,51,Excellent
3,75,8,89,Excellent
6,90,6,55,Excellent
1,59,8,86,Good
11,46,6,39,Good
10,81,6,68,Excellent
5,47,6,55,Good
1,90,7,75,Good
6,85,9,40,Good
7,48,5,95,Excellent
8,93,5,48,Excellent
9,54,9,64,Excellent
7,71,4,38,Average
10,41,6,44,Good
3,44,10,66,Good
5,88,4,49,Good
8,86,7,69,Excellent
11,74,6,51,Excellent
3,96,9,36,Good
1,94,4,53,Average
2,89,5,35,Average
8,95,4,35,Good
8,64,9,37,Good
10,88,8,70,Excellent
12,90,10,62,Excellent
6,75,10,63,Excellent
9,78,6,51,Excellent
1,50,5,46,Poor
12,92,5,70,Excellent
7,65,8,59,Good
8,48,6,46,Good
2,98,5,55,Good
7,50,4,45,Average
4,63,6,35,Average
7,60,9,43,Good
1,62,7,41,Average
12,99,5,58,Excellent
8,86,8,74,Excellent
11,85,6,72,Excellent
11,81,9,66,Excellent
10,77,4,40,Good
10,72,5,89,Excellent
9,42,9,38,Good
10,85,7,88,Excellent
7,61,10,65,Excellent
2,57,5,54,Average
9,57,4,54,Good
11,61,7,45,Excellent
9,63,7,90,Excellent
3,84,5,35,Average
10,49,10,79,Excellent
10,60,8,93,Excellent
9,97,10,45,Excellent
5,65,6,38,Good
8,56,7,68,Excellent
8,88,4,79,Excellent
1,93,7,90,Excellent
8,89,5,46,Good
1,64,7,56,Average
6,45,8,64,Good
8,90,6,48,Good
9,76,7,80,Excellent
9,69,4,36,Good
1,54,6,77,Average
4,50,9,45,Average
3,97,8,63,Good
4,70,8,80,Excellent
1,92,7,61,Good
10,47,8,36,Good
6,67,8,93,Excellent
3,75,7,48,Average
11,74,4,86,Excellent
10,46,7,80,Excellent
12,63,10,56,Excellent
1,96,5,46,Average
1,58,4,66,Average
8,91,7,69,Excellent
2,70,7,90,Excellent
8,80,6,35,Good
11,53,7,95,Excellent
3,46,6,71,Average
12,97,9,50,Excellent
11,42,6,87,Excellent
2,42,6,40,Poor
8,94,5,59,Excellent
12,63,4,87,Excellent
8,60,4,40,Average
12,65,7,95,Excellent
6,64,5,82,Excellent
3,76,9,91,Excellent
5,45,6,63,Good
4,75,6,36,Average
2,57,7,62,Average
6,43,7,95,Excellent
8,64,10,91,Excellent
8,74,5,86,Excellent
1,60,6,84,Good
12,100,9,88,Excellent
10,41,10,38,Good
3,87,7,93,Excellent
4,94,8,64,Excellent
3,57,4,41,Average
5,63,8,61,Good
7,55,4,91,Excellent
7,40,9,54,Good
10,89,9,60,Excellent
10,64,6,63,Excellent
9,46,7,92,Excellent
3,50,7,84,Good
3,46,5,81,Good
3,56,4,68,Good
5,63,6,60,Good
12,55,10,50,Excellent
5,51,4,81,Good
8,64,4,85,Excellent
10,81,8,55,Excellent
1,57,6,35,Average
12,51,6,84,Excellent
11,91,7,59,Excellent
1,53,5,49,Average
8,58,8,43,Good
6,45,9,67,Excellent
4,54,9,54,Good
4,64,6,52,Average
1,82,6,84,Excellent
2,49,7,82,Good
3,60,8,89,Good
6,54,9,59,Good
3,73,7,73,Good
3,52,10,90,Excellent
1,99,6,36,Average
6,84,5,62,Good
3,63,6,38,Average
12,46,8,61,Excellent
4,93,4,58,Good
5,65,5,45,Average
6,40,5,86,Good
3,67,10,67,Good
6,86,7,93,Excellent
9,90,10,87,Excellent
6,76,6,57,Good
6,95,6,54,Excellent
8,44,9,38,Average
1,100,5,87,Excellent
8,96,4,90,Excellent
7,87,6,93,Excellent
6,70,4,86,Excellent
3,81,4,75,Good
7,51,10,95,Excellent
2,45,8,66,Good
7,80,6,66,Excellent
4,93,7,64,Good
8,58,10,56,Excellent
11,88,7,90,Excellent
6,52,6,37,Average
8,52,9,55,Good
5,79,4,45,Average
9,45,8,64,Good
4,79,6,92,Excellent
1,100,4,47,Average
4,55,9,88,Excellent
12,81,4,89,Excellent
12,60,6,52,Excellent
2,81,7,60,Good
5,44,9,65,Good
3,64,7,87,Good
6,92,10,94,Excellent
4,71,8,45,Good
7,54,9,55,Good
2,44,4,67,Average
5,70,8,90,Excellent
3,97,7,51,Good
3,76,5,37,Average
3,41,8,77,Good
9,53,10,59,Excellent
12,83,10,85,Excellent
8,88,9,47,Excellent
7,67,7,82,Excellent
9,44,6,71,Excellent
6,43,8,63,Good
9,86,6,55,Excellent
7,95,5,78,Excellent
8,47,8,45,Good
11,66,7,80,Excellent
9,69,9,69,Excellent
5,66,6,91,Excellent
5,57,4,75,Good
8,76,6,94,Excellent
4,48,8,52,Average
2,48,7,61,Average
1,83,8,54,Good
9,40,6,68,Good
8,59,8,88,Excellent
4,96,8,58,Excellent
12,42,4,49,Good
2,45,4,94,Good
7,50,8,61,Excellent
11,88,8,84,Excellent
3,50,5,61,Average
1,70,7,36,Average
4,43,5,42,Average
11,92,8,63,Excellent
11,94,5,35,Good
1,95,10,37,Good
6,64,5,68,Good
4,85,8,39,Good
9,83,8,48,Excellent
1,77,4,93,Good
4,87,9,89,Excellent
8,48,9,62,Good
3,46,8,74,Good
5,40,5,52,Average
3,97,10,73,Excellent
8,80,7,63,Excellent
11,70,9,59,Excellent
12,74,10,44,Excellent
9,78,7,68,Excellent
8,54,9,40,Good
2,91,6,59,Good
9,62,4,82,Excellent
7,46,4,63,Good
1,48,6,61,Average
8,85,10,81,Excellent
1,75,5,42,Average
11,81,7,83,Excellent
7,91,7,50,Excellent
8,45,6,70,Good
8,74,10,59,Excellent
5,94,4,35,Good
9,53,6,50,Good
4,85,10,44,Good
2,95,4,61,Average
12,84,5,62,Excellent
3,75,5,72,Good
12,46,8,50,Excellent
11,49,4,46,Good
9,58,10,53,Excellent
5,73,6,87,Excellent
3,67,7,41,Average
9,76,4,88,Excellent
4,51,5,65,Average
4,48,7,52,Average
5,73,5,91,Excellent
3,97,5,87,Excellent
2,76,4,66,Good
4,40,7,55,Average
1,88,9,41,Average
11,96,7,66,Excellent
11,89,7,81,Excellent
7,79,6,44,Good
7,86,7,73,Excellent
1,71,9,70,Good
8,73,7,50,Good
5,65,9,56,Good
10,76,9,61,Excellent
1,53,8,77,Good
8,52,8,85,Excellent
8,76,5,38,Good
6,91,8,50,Excellent
11,69,7,66,Excellent
1,61,6,59,Average
11,85,8,91,Excellent
2,86,8,73,Excellent
10,47,6,67,Excellent
12,62,7,37,Excellent
4,53,5,94,Excellent
2,83,10,43,Good
7,83,4,60,Good
4,45,9,46,Average
10,65,8,75,Excellent
11,62,6,84,Excellent
5,64,7,80,Good
7,61,9,46,Good
2,63,5,61,Average
8,63,10,79,Excellent
11,73,7,63,Excellent
3,42,5,46,Average
8,64,6,82,Excellent
10,51,8,83,Excellent
12,60,4,45,Good
5,71,9,60,Excellent
7,46,4,81,Good
12,85,9,83,Excellent
7,47,5,58,Good
2,42,5,79,Average
8,45,5,85,Excellent
7,66,8,93,Excellent
2,91,5,51,Good
8,50,6,58,Good
7,79,9,39,Excellent
6,48,6,50,Average
5,62,5,75,Good
6,89,9,44,Good
2,95,8,69,Excellent
11,77,5,86,Excellent
2,50,5,36,Poor
9,86,10,52,Excellent
1,51,9,44,Average
10,78,8,57,Excellent
1,52,10,45,Average
6,64,6,84,Excellent
6,47,9,88,Excellent
11,72,8,63,Excellent
5,99,9,62,Excellent
5,71,7,42,Good
12,59,9,90,Excellent
